cell_name	average_expression	binary_call	time_point_expression
ABalpaaa	13404	1	519,783,2887,5829,8552,9548,9508,7613,9375,10772,12795,13078,11558,14683,15044,13150,15372,20297,17129,18840,19737,21242,22761,21008,20512,22494,21521,19373,9866,6287
ABalpaaaa	20832	1	2850,7330,16316,12800,15188,15072,17611,22623,23004,25738,23894,22317,20257,24584,25508,27417,20201,18762,26391,23075,22998,30488,27339,15500,24492,22752,29239,22981,28992,22580,20904,20467,20970,21860,24760,26540,22703,19671,10612,6506
ABalpaaaaa	28871	1	9969,17706,16701,20504,27609,27488,31767,31868,28984,30559,28294,20662,25574,33037,23745,39464,29707,33705,36415,39036,51495,30865
ABalpaaaap	18169	1	2399,4723,10713,7672,14726,18776,19114,20430,18994,18306,22683,23743,21702,23092,31682,21965,20895,21397,21090,17614,16150,21858
ABalpaaap	15561	1	4212,1194,10619,10784,13118,17400,22348,23853,17132,21444,19056,17612,15911,13855,12076,15038,11975,11337,13529,12636,15516,19172,17897,11658,15490,18988,16407,21459,25790,16304,18397,15186,15314,21770,21769,16623,16089,12285,5653
ABalpaaapa	20439	1	2970,6297,11305,15423,16397,19370,21364,25207,15979,25099,26801,22485,27068,28186,19071,26820,26647,33004,26858,22511,15428,17071,18729
ABalpaaapp	17632	1	3228,8637,8498,12513,18273,14018,15769,23873,16299,24672,21655,22171,22949,20736,27234,23784,19575,18959,18837,17259,11936,16375,18276
ABalpaap	10286	1	444,-1175,5350,7909,7179,6767,11304,11003,13794,12225,10080,12879,13354,10624,11495,14107,12899,15755,18443,16494,16536,14118,13102,556,1908
ABalpaapa	20534	1	665,13101,14909,19592,21941,26669,25152,22648,27284,22125,19240,28039,28899,22284,16810,19743,24963,25818,20763,27360,19634,19542,26984,21744,19353,22799,20896,14591,15452,7005
ABalpaapaa	31216	1	8056,10061,16012,16999,17655,17823,19284,19723,26955,32026,26334,20737,23743,24800,26480,19180,32484,30632,34947,34294,29374,41609,32375,36300,39385,45647,40592,34738,47035,41499,54422,47886,46017,37400,42454,40917,39116
ABalpaapap	27708	1	3098,4079,9771,11612,13684,20966,20867,18632,20407,31189,28838,26100,31384,29136,26092,32415,35004,37587,35697,37777,33422,31075,36271,27451,40364,47125,21720,41114,32002,21379,39194,35635,25311,33287,29887,29381,26252
ABalpaapp	11833	1	2493,9753,6760,7963,12818,10664,12816,7553,10289,7325,9032,11127,9922,10645,12256,8728,11179,11939,11367,14578,11071,12513,14649,10759,15947,15632,18785,18149,13337,16664,13026,18081,14658,19986,12712,11538,4636,8297
ABalpaappa	16823	1	3520,11426,14170,17585,18008,17506,20935,24087,16772,18918,17852,13743,16153,24119,22160,19518,13603,17776,17671,17802,17643,18211,16822,16534,20388,16755,14647,8771,14786
ABalpaappp	11339	1	4690,11798,11917,9696,10012,13126,15020,15056,14892,9792,14011,10074,13274,8214,17485,12993,9978,13868,13866,12430,6599,12942,10349,6084,6135,13543,11905,8375,10710
